12.663, 0.007, 0.014, -0.068
12.683, 0.007, 0.013, -0.068
12.703, 0.007, 0.013, -0.067
12.723, 0.007, 0.012, -0.067
12.743, 0.007, 0.012, -0.067
12.763, 0.007, 0.011, -0.066
12.784, 0.006, 0.011, -0.066
12.803, 0.006, 0.010, -0.065
12.823, 0.006, 0.010, -0.065
12.843, 0.006, 0.009, -0.065
12.863, 0.006, 0.009, -0.064
12.883, 0.006, 0.008, -0.064
12.903, 0.006, 0.008, -0.063
12.923, 0.006, 0.008, -0.063
12.943, 0.005, 0.007, -0.063
12.963, 0.005, 0.007, -0.062
12.983, 0.005, 0.006, -0.062
13.003, 0.005, 0.006, -0.061
13.022, 0.005, 0.006, -0.061
13.043, 0.004, 0.005, -0.061
13.063, 0.004, 0.005, -0.060
13.083, 0.004, 0.005, -0.060
13.103, 0.004, 0.004, -0.060
13.123, 0.004, 0.004, -0.059
13.143, 0.003, 0.004, -0.059
13.163, 0.003, 0.003, -0.058
13.183, 0.003, 0.003, -0.058
13.204, 0.003, 0.003, -0.058
13.223, 0.000, 0.000, -0.058
13.243, 0.000, 0.000, -0.057
13.263, 0.000, 0.000, -0.057
13.283, -0.238, -0.075, -0.056
13.303, -0.238, -0.075, -0.056
13.323, -0.238, -0.075, -0.056
13.343, -0.238, -0.075, -0.055
13.363, -0.238, -0.075, -0.055
13.383, -0.238, -0.075, -0.054
13.403, -0.238, -0.076, -0.054
13.423, -0.238, -0.076, -0.054
13.443, -0.238, -0.076, -0.053
13.462, -0.238, -0.076, -0.053
13.483, -0.238, -0.077, -0.053
13.503, -0.238, -0.077, -0.052
13.523, -0.238, -0.077, -0.052
13.543, -0.237, -0.078, -0.052
13.562, -0.237, -0.078, -0.051
13.583, -0.237, -0.078, -0.051
13.603, -0.237, -0.079, -0.051
13.623, -0.237, -0.079, -0.051
13.643, -0.237, -0.079, -0.050
13.662, -0.237, -0.079, -0.050
13.683, -0.237, -0.081, -0.050
13.703, -0.237, -0.081, -0.050
13.723, -0.237, -0.081, -0.049
13.743, -0.236, -0.082, -0.049
13.762, -0.236, -0.082, -0.049
13.783, -0.236, -0.082, -0.049
13.803, -0.236, -0.083, -0.048
13.823, -0.236, -0.083, -0.048
13.843, -0.236, -0.083, -0.048
13.863, -0.236, -0.083, -0.048
13.882, -0.236, -0.084, -0.047
13.903, -0.236, -0.084, -0.047
13.923, -0.236, -0.084, -0.047
13.943, -0.236, -0.083, -0.047
13.963, -0.236, -0.083, -0.046
13.983, -0.236, -0.083, -0.046
14.003, -0.236, -0.082, -0.046
14.026, -0.236, -0.082, -0.046
14.043, -0.236, -0.082, -0.045
14.063, -0.237, -0.081, -0.045
14.083, -0.237, -0.080, -0.045
14.103, -0.237, -0.080, -0.044
14.123, -0.237, -0.080, -0.044
14.142, -0.238, -0.078, -0.044
14.162, -0.238, -0.078, -0.044
14.183, -0.238, -0.078, -0.044
14.203, -0.238, -0.075, -0.043
14.223, -0.238, -0.076, -0.043
14.243, -0.238, -0.076, -0.043
14.262, -0.239, -0.075, -0.043
14.283, -0.238, -0.075, -0.043
14.303, -0.238, -0.075, -0.043
14.323, -0.238, -0.075, -0.042
14.343, -0.239, -0.075, -0.042
14.363, -0.239, -0.075, -0.042
14.383, -0.239, -0.075, -0.042
14.403, -0.238, -0.075, -0.042
14.423, -0.238, -0.075, -0.042
14.443, -0.238, -0.075, -0.042
14.463, -0.238, -0.075, -0.041
14.483, -0.238, -0.077, -0.041
14.503, -0.238, -0.077, -0.041
14.523, -0.238, -0.077, -0.041
14.543, -0.237, -0.080, -0.041
14.562, -0.237, -0.080, -0.041
14.583, -0.237, -0.080, -0.041
14.603, -0.236, -0.082, -0.040
14.623, -0.236, -0.082, -0.040
14.643, -0.236, -0.082, -0.040
14.663, -0.236, -0.082, -0.040
14.682, -0.235, -0.085, -0.040
14.703, -0.235, -0.085, -0.039
14.723, -0.235, -0.085, -0.039
14.743, -0.234, -0.087, -0.039
14.763, -0.234, -0.087, -0.039
14.783, -0.234, -0.087, -0.039
14.802, -0.234, -0.089, -0.039
14.823, -0.234, -0.089, -0.038
14.843, -0.234, -0.089, -0.038
14.863, -0.234, -0.089, -0.038
